cohort,sample,orig_blk_mean,orig_blk_std,match_blk_mean,match_blk_std,A_orig_ctplans_recall,A_orig_ctplans_precision,A_orig_ctplans_ppf,B_orig_instzs_recall,B_orig_instzs_precision,B_orig_instzs_ppf,C_match_ctplans_recall,C_match_ctplans_precision,C_match_ctplans_ppf,D_match_instzs_recall,D_match_instzs_precision,D_match_instzs_ppf,E_affine_ctplans_recall,E_affine_ctplans_precision,E_affine_ctplans_ppf,F_affine_instzs_recall,F_affine_instzs_precision,F_affine_instzs_ppf,dAC_recall,dBD_recall,confound_recall
located60,sample_00161,133.346887,40.486018,75.757932,40.740866,0.942510,0.753682,0.280118,0.700974,0.514880,0.304958,0.567845,0.426276,0.298389,0.571626,0.427258,0.299685,0.684674,0.504461,0.304019,0.700974,0.514880,0.304958,-0.374665,-0.129348,0.245317
located60,sample_00162,128.316664,45.117269,74.856576,41.087819,0.924153,0.746606,0.217435,0.703923,0.396399,0.311940,0.781835,0.439834,0.312251,0.760008,0.428925,0.311254,0.682800,0.383628,0.312652,0.703923,0.396399,0.311940,-0.142317,0.056085,0.198402
located60,sample_00163,131.323291,38.167151,74.727157,40.902565,0.952113,0.749926,0.252568,0.732754,0.443966,0.328335,0.717284,0.438880,0.325127,0.720898,0.440484,0.325576,0.718247,0.437039,0.326935,0.732754,0.443966,0.328335,-0.234829,-0.011857,0.222972
located60,sample_00164,128.961281,38.885823,74.720688,40.633097,0.951082,0.729885,0.186014,0.766288,0.419918,0.260501,0.768017,0.406886,0.269451,0.773940,0.409415,0.269852,0.756930,0.413006,0.261627,0.766271,0.419907,0.260502,-0.183065,0.007652,0.190717
located60,sample_00165,135.221548,35.314711,73.266214,40.369421,0.959633,0.730341,0.244696,0.812473,0.569476,0.265693,0.749783,0.493030,0.283210,0.757552,0.500638,0.281796,0.800707,0.572609,0.260413,0.812473,0.569476,0.265693,-0.209851,-0.054921,0.154929
located60,sample_00166,133.990374,38.709036,74.508236,40.739682,0.943815,0.758439,0.251880,0.863965,0.609204,0.287052,0.699157,0.489856,0.288890,0.716536,0.501880,0.288978,0.804839,0.575455,0.283090,0.863974,0.609223,0.287046,-0.244658,-0.147429,0.097229
located60,sample_00167,132.061000,44.469588,74.783289,41.640006,0.939180,0.808812,0.268535,0.872979,0.623938,0.323565,0.764076,0.552803,0.319643,0.767281,0.554639,0.319922,0.865786,0.612910,0.326673,0.872979,0.623938,0.323565,-0.175104,-0.105698,0.069405
located60,sample_00168,119.298728,53.483421,74.462367,41.405586,0.935976,0.794267,0.177613,0.834061,0.564125,0.222843,0.614803,0.396600,0.233647,0.805659,0.450394,0.269610,0.773945,0.505474,0.230775,0.834061,0.564125,0.222843,-0.321173,-0.028402,0.292771
located60,sample_00169,116.840342,47.385653,74.525005,41.118538,0.937285,0.750962,0.064639,0.693653,0.358497,0.100207,0.521816,0.348724,0.077496,0.812979,0.387672,0.108607,0.647571,0.397830,0.084301,0.693653,0.358497,0.100207,-0.415469,0.119326,0.534795
located60,sample_00170,115.399369,43.585593,73.664466,40.115414,0.931923,0.750389,0.147457,0.822203,0.392086,0.248982,0.739520,0.431793,0.203350,0.834755,0.432804,0.229001,0.821547,0.468263,0.208311,0.822203,0.392086,0.248982,-0.192403,0.012552,0.204955
located60,sample_00172,139.347322,30.116489,74.464352,40.268907,0.881766,0.611059,0.276304,0.792770,0.466508,0.325390,0.601541,0.380578,0.302649,0.605332,0.383116,0.302537,0.712146,0.431924,0.315702,0.792770,0.466508,0.325390,-0.280225,-0.187439,0.092786
located60,sample_00173,131.770121,36.242149,73.165876,41.684751,0.919815,0.615812,0.213283,0.717551,0.391954,0.261409,0.584209,0.328725,0.253769,0.590958,0.330799,0.255091,0.635983,0.354109,0.256455,0.717551,0.391954,0.261409,-0.335605,-0.126593,0.209012
located60,sample_00174,134.033808,36.183191,73.092627,41.138756,0.902831,0.694085,0.207435,0.662155,0.402158,0.262574,0.612278,0.351838,0.277520,0.606194,0.348913,0.277065,0.619821,0.380964,0.259460,0.662258,0.402216,0.262576,-0.290553,-0.055962,0.234591
located60,sample_00175,134.564990,33.690302,73.620772,41.249933,0.899507,0.656438,0.264658,0.813443,0.443898,0.353931,0.646508,0.330385,0.377944,0.654548,0.337955,0.374075,0.784460,0.418204,0.362291,0.813443,0.443898,0.353931,-0.252999,-0.158895,0.094104
located60,sample_00177,135.162979,34.686349,73.728801,41.697608,0.877442,0.570332,0.294205,0.711102,0.405922,0.335003,0.582288,0.354356,0.314236,0.593466,0.357822,0.317167,0.642922,0.369029,0.333163,0.711102,0.405922,0.335003,-0.295154,-0.117637,0.177517
located60,sample_00178,134.488954,33.844936,74.790984,40.896256,0.856678,0.597695,0.236697,0.748589,0.439654,0.281182,0.741902,0.441573,0.277460,0.743996,0.440964,0.278626,0.730266,0.433889,0.277944,0.748558,0.439661,0.281166,-0.114776,-0.004594,0.110182
located60,sample_00179,138.446428,35.250274,74.105100,41.722480,0.879518,0.646256,0.344821,0.587499,0.350637,0.424525,0.528718,0.327933,0.408501,0.557440,0.336262,0.420023,0.443589,0.319225,0.352077,0.587516,0.350640,0.424534,-0.350801,-0.030060,0.320741
located60,sample_00180,137.805049,33.218702,73.838254,41.379641,0.887885,0.605298,0.283645,0.470010,0.330618,0.274896,0.368488,0.255819,0.278534,0.405828,0.276292,0.284028,0.408672,0.295736,0.267214,0.470072,0.330667,0.274891,-0.519396,-0.064182,0.455215
located60,sample_00181,142.215475,32.639739,76.381000,40.460493,0.956703,0.766851,0.252545,0.952314,0.662793,0.290854,0.846093,0.533415,0.321090,0.839728,0.529480,0.321042,0.939137,0.641430,0.296383,0.952331,0.662791,0.290860,-0.110609,-0.112585,-0.001976
located60,sample_00183,139.556896,34.873090,74.781290,41.389530,0.914259,0.678282,0.275359,0.726647,0.466536,0.318184,0.591580,0.364388,0.331658,0.598127,0.369071,0.331073,0.682214,0.435516,0.320005,0.726710,0.466574,0.318186,-0.322679,-0.128520,0.194160
located60,sample_00184,139.434281,32.940796,74.149942,41.483686,0.898397,0.704709,0.229242,0.781814,0.530761,0.264875,0.704771,0.456570,0.277573,0.709118,0.461085,0.276550,0.731513,0.494315,0.266106,0.781807,0.530770,0.264867,-0.193626,-0.072696,0.120931
located60,sample_00185,139.091145,32.664420,74.647803,41.798207,0.935852,0.559797,0.424508,0.972647,0.405732,0.608732,0.735591,0.327581,0.570200,0.730055,0.320149,0.579047,0.289157,0.229992,0.319249,0.972647,0.405842,0.608566,-0.200261,-0.242592,-0.042331
